strategy,seed,total_steps,service_availability,total_interruption_time,total_recovery_time,total_state_loss,sla_violations,migrations_attempted,migrations_successful,migration_success_rate,total_migration_time,migration_frequency,checkpoints_created,total_checkpoint_cpu,total_checkpoint_storage,replications,total_replication_bw,syncs,total_sync_data,avg_bandwidth,avg_latency,avg_cpu_utilization,avg_memory_utilization,avg_storage_utilization,total_data_transferred,energy_proxy,objective_cost,state_size
local_execution,42,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,17050.0,0,0.0,0,0.0,15.506267218138925,1.5308746556372212,0.19999999999999718,0.30000000000000565,0.13374937499999956,0.0,199.9999999999972,0.39999999999999436,250
local_execution,43,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,17050.0,0,0.0,0,0.0,13.709138541343929,1.4758172291731222,0.19999999999999718,0.30000000000000565,0.13374937499999956,0.0,199.9999999999972,0.39999999999999436,250
local_execution,44,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,17050.0,0,0.0,0,0.0,12.134188459969968,1.3183162308006011,0.19999999999999718,0.30000000000000565,0.13374937499999956,0.0,199.9999999999972,0.39999999999999436,250
local_execution,45,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,17050.0,0,0.0,0,0.0,11.335171108259562,1.3132965778348096,0.19999999999999718,0.30000000000000565,0.13374937499999956,0.0,199.9999999999972,0.39999999999999436,250
local_execution,46,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,17050.0,0,0.0,0,0.0,12.50099611442133,1.3879800777115725,0.19999999999999718,0.30000000000000565,0.13374937499999956,0.0,199.9999999999972,0.39999999999999436,250
threshold_based,42,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,17050.0,0,0.0,0,0.0,15.506267218138925,1.5308746556372212,0.19999999999999718,0.30000000000000565,0.13374937499999956,0.0,199.9999999999972,0.39999999999999436,250
threshold_based,43,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,17050.0,0,0.0,0,0.0,13.709138541343929,1.4758172291731222,0.19999999999999718,0.30000000000000565,0.13374937499999956,0.0,199.9999999999972,0.39999999999999436,250
threshold_based,44,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,17050.0,0,0.0,0,0.0,12.134188459969968,1.3183162308006011,0.19999999999999718,0.30000000000000565,0.13374937499999956,0.0,199.9999999999972,0.39999999999999436,250
threshold_based,45,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,17050.0,0,0.0,0,0.0,11.335171108259562,1.3132965778348096,0.19999999999999718,0.30000000000000565,0.13374937499999956,0.0,199.9999999999972,0.39999999999999436,250
threshold_based,46,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,17050.0,0,0.0,0,0.0,12.50099611442133,1.3879800777115725,0.19999999999999718,0.30000000000000565,0.13374937499999956,0.0,199.9999999999972,0.39999999999999436,250
mobility_aware,42,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,63,25.199999999999974,54207.99999999999,0,0.0,0,0.0,15.506267218138925,1.5308746556372212,0.19999999999999718,0.30000000000000565,0.13682258593750032,0.0,199.9999999999972,0.39999999999999436,250
mobility_aware,43,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,57,22.799999999999983,46869.899999999994,1,967.0,1,1.0,13.709138541343929,1.4758172291731222,0.19999999999999718,0.30000000000000565,0.13625928281249952,968.0,199.9999999999972,0.6903999999999944,250
mobility_aware,44,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,55,21.999999999999986,51606.5,0,0.0,0,0.0,12.134188459969968,1.3183162308006011,0.19999999999999718,0.30000000000000565,0.13607836718750052,0.0,199.9999999999972,0.39999999999999436,250
mobility_aware,45,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,60,23.99999999999998,47153.700000000004,0,0.0,0,0.0,11.335171108259562,1.3132965778348096,0.19999999999999718,0.30000000000000565,0.13670588281249949,0.0,199.9999999999972,0.39999999999999436,250
mobility_aware,46,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,62,24.799999999999976,53575.5,0,0.0,0,0.0,12.50099611442133,1.3879800777115725,0.19999999999999718,0.30000000000000565,0.1369532453124992,0.0,199.9999999999972,0.39999999999999436,250
rl_based,42,1000,1.0,0,0.0,0,0,5,0,0.0,442.3744093513322,5,28,11.200000000000005,7950.71433015459,0,0.0,0,0.0,15.506267218138925,1.5308746556372212,0.19999999999999718,0.30000000000000565,0.11318594594761744,0.0,199.9999999999972,2.6118720467566554,250
rl_based,43,1000,1.0,0,0.0,0,0,29,0,0.0,1763.6033194150748,29,28,11.200000000000005,7950.420155311647,0,0.0,0,0.0,13.709138541343929,1.4758172291731222,0.19999999999999718,0.30000000000000565,0.11318531685695517,0.0,199.9999999999972,9.21801659707537,250
rl_based,44,1000,1.0,0,0.0,0,0,3,0,0.0,202.86667803287835,3,111,44.399999999999906,31548.609222799314,0,0.0,0,0.0,12.134188459969968,1.3183162308006011,0.19999999999999718,0.30000000000000565,0.11318613003031802,0.0,199.9999999999972,1.4143333901643862,250
rl_based,45,1000,1.0,0,0.0,0,0,8,0,0.0,797.1116604640345,8,28,11.200000000000005,7950.714219840227,0,0.0,0,0.0,11.335171108259562,1.3132965778348096,0.19999999999999718,0.30000000000000565,0.11318594555288897,0.0,199.9999999999972,4.385558302320167,250
