strategy,num_seeds,total_steps_mean,total_steps_std,total_steps_ci_low,total_steps_ci_high,service_availability_mean,service_availability_std,service_availability_ci_low,service_availability_ci_high,total_interruption_time_mean,total_interruption_time_std,total_interruption_time_ci_low,total_interruption_time_ci_high,total_recovery_time_mean,total_recovery_time_std,total_recovery_time_ci_low,total_recovery_time_ci_high,total_state_loss_mean,total_state_loss_std,total_state_loss_ci_low,total_state_loss_ci_high,sla_violations_mean,sla_violations_std,sla_violations_ci_low,sla_violations_ci_high,migrations_attempted_mean,migrations_attempted_std,migrations_attempted_ci_low,migrations_attempted_ci_high,migrations_successful_mean,migrations_successful_std,migrations_successful_ci_low,migrations_successful_ci_high,migration_success_rate_mean,migration_success_rate_std,migration_success_rate_ci_low,migration_success_rate_ci_high,total_migration_time_mean,total_migration_time_std,total_migration_time_ci_low,total_migration_time_ci_high,migration_frequency_mean,migration_frequency_std,migration_frequency_ci_low,migration_frequency_ci_high,checkpoints_created_mean,checkpoints_created_std,checkpoints_created_ci_low,checkpoints_created_ci_high,total_checkpoint_cpu_mean,total_checkpoint_cpu_std,total_checkpoint_cpu_ci_low,total_checkpoint_cpu_ci_high,total_checkpoint_storage_mean,total_checkpoint_storage_std,total_checkpoint_storage_ci_low,total_checkpoint_storage_ci_high,replications_mean,replications_std,replications_ci_low,replications_ci_high,total_replication_bw_mean,total_replication_bw_std,total_replication_bw_ci_low,total_replication_bw_ci_high,syncs_mean,syncs_std,syncs_ci_low,syncs_ci_high,total_sync_data_mean,total_sync_data_std,total_sync_data_ci_low,total_sync_data_ci_high,avg_bandwidth_mean,avg_bandwidth_std,avg_bandwidth_ci_low,avg_bandwidth_ci_high,avg_latency_mean,avg_latency_std,avg_latency_ci_low,avg_latency_ci_high,avg_cpu_utilization_mean,avg_cpu_utilization_std,avg_cpu_utilization_ci_low,avg_cpu_utilization_ci_high,avg_memory_utilization_mean,avg_memory_utilization_std,avg_memory_utilization_ci_low,avg_memory_utilization_ci_high,avg_storage_utilization_mean,avg_storage_utilization_std,avg_storage_utilization_ci_low,avg_storage_utilization_ci_high,total_data_transferred_mean,total_data_transferred_std,total_data_transferred_ci_low,total_data_transferred_ci_high,energy_proxy_mean,energy_proxy_std,energy_proxy_ci_low,energy_proxy_ci_high,objective_cost_mean,objective_cost_std,objective_cost_ci_low,objective_cost_ci_high,failure_probability_mean,failure_probability_std,failure_probability_ci_low,failure_probability_ci_high
agentic_manager,25,1000.0,0.0,1000.0,1000.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.64,1.0754843869934452,51.196061864126165,52.08393813587384,20.65599999999999,0.4301937547973766,20.478424745650457,20.833575254349526,34383.008,964.7065075797224,33984.7967253226,34781.2192746774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.980482999777347,3.282752765978529,8.625429257400647,11.335536742154048,1.1009903400044534,0.3329221208510513,0.9635668427327262,1.2384138372761806,0.19999999999999718,0.0,0.19999999999999718,0.19999999999999718,0.3000000000000057,5.665583147960493e-17,0.3000000000000057,0.3000000000000057,0.12934057431249993,3.262807351732938e-05,0.1293271061056997,0.12935404251930016,0.0,0.0,0.0,0.0,199.9999999999972,0.0,199.9999999999972,199.9999999999972,0.39999999999999436,0.0,0.39999999999999436,0.39999999999999436,0.22,0.1755942292142123,0.14751826457892112,0.2924817354210789
local_execution,25,1000.0,0.0,1000.0,1000.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,20.0,8.000000000000002,0.0,8.000000000000002,8.000000000000002,13750.0,0.0,13750.0,13750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.980482999777347,3.282752765978529,8.625429257400647,11.335536742154048,1.1009903400044534,0.3329221208510513,0.9635668427327262,1.2384138372761806,0.19999999999999718,0.0,0.19999999999999718,0.19999999999999718,0.3000000000000057,5.665583147960493e-17,0.3000000000000057,0.3000000000000057,0.12678070312499984,0.0,0.12678070312499984,0.12678070312499984,0.0,0.0,0.0,0.0,199.9999999999972,0.0,199.9999999999972,199.9999999999972,0.39999999999999436,0.0,0.39999999999999436,0.39999999999999436,0.22,0.1755942292142123,0.14751826457892112,0.2924817354210789
mobility_aware,25,1000.0,0.0,1000.0,1000.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.12,10.203430795570673,47.908230771470116,56.33176922852988,20.84799999999999,4.081372318228256,19.16329230858804,22.532707691411936,34482.536,8314.109549829536,31050.6402517778,37914.4317482222,0.64,0.48989794855663565,0.43778006572588796,0.8422199342741121,410.32,424.96644181237025,234.9024744006539,585.7375255993461,0.84,0.9865765724632496,0.4327612062314385,1.2472387937685614,36.12,83.35582363178553,1.712407100607706,70.52759289939229,9.980482999777347,3.282752765978529,8.625429257400647,11.335536742154048,1.1009903400044534,0.3329221208510513,0.9635668427327262,1.2384138372761806,0.19999999999999718,0.0,0.19999999999999718,0.19999999999999718,0.3000000000000057,5.665583147960493e-17,0.3000000000000057,0.3000000000000057,0.1287597034999998,0.0003796563662736872,0.12860298905434675,0.12891641794565284,446.44,432.7446398666693,267.81179204538876,625.0682079546112,199.9999999999972,0.0,199.9999999999972,199.9999999999972,0.5339319999999944,0.1298233919600008,0.48034353761361104,0.5875204623863778,0.22,0.1755942292142123,0.14751826457892112,0.2924817354210789
rl_based,25,1000.0,0.0,1000.0,1000.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,5.139714648369758,3.278430066010234,7.521569933989767,0.04,0.2,-0.042555942465120976,0.12255594246512097,0.006666666666666666,0.03333333333333333,-0.007092657077520163,0.020425990410853495,187.92319973943836,135.07255705131132,132.1679884967142,243.67841098216252,5.4,5.139714648369758,3.278430066010234,7.521569933989767,33.08,16.953170794869024,26.082075036287115,40.07792496371288,13.232000000000001,6.781268317947591,10.432830014514856,16.031169985485146,3936.806197008234,2022.7196534955835,3101.8685603229796,4771.743833693488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.898212656710621,3.218989018391705,8.569479295719612,11.22694601770163,1.0866757468657877,0.3237252775651586,0.9530485199199149,1.2203029738116604,0.19999999999999718,0.0,0.19999999999999718,0.19999999999999718,0.3004993535804805,0.0024967679023743085,0.29946873844399463,0.3015299687169664,0.10538486049599032,0.000733090127813589,0.10508225576392267,0.10568746522805796,4.33796875,21.68984375,-4.615158713512319,13.291096213512319,199.9999999999972,0.0,199.9999999999972,199.9999999999972,1.340917389322186,0.6756295646073406,1.0620312120048943,1.6198035666394777,0.22,0.1755942292142123,0.14751826457892112,0.2924817354210789
threshold_based,25,1000.0,0.0,1000.0,1000.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,20.0,8.000000000000002,0.0,8.000000000000002,8.000000000000002,13750.0,0.0,13750.0,13750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.980482999777347,3.282752765978529,8.625429257400647,11.335536742154048,1.1009903400044534,0.3329221208510513,0.9635668427327262,1.2384138372761806,0.19999999999999718,0.0,0.19999999999999718,0.19999999999999718,0.3000000000000057,5.665583147960493e-17,0.3000000000000057,0.3000000000000057,0.12678070312499984,0.0,0.12678070312499984,0.12678070312499984,0.0,0.0,0.0,0.0,199.9999999999972,0.0,199.9999999999972,199.9999999999972,0.39999999999999436,0.0,0.39999999999999436,0.39999999999999436,0.22,0.1755942292142123,0.14751826457892112,0.2924817354210789
