strategy,num_seeds,total_steps_mean,total_steps_std,total_steps_ci_low,total_steps_ci_high,service_availability_mean,service_availability_std,service_availability_ci_low,service_availability_ci_high,total_interruption_time_mean,total_interruption_time_std,total_interruption_time_ci_low,total_interruption_time_ci_high,total_recovery_time_mean,total_recovery_time_std,total_recovery_time_ci_low,total_recovery_time_ci_high,total_state_loss_mean,total_state_loss_std,total_state_loss_ci_low,total_state_loss_ci_high,sla_violations_mean,sla_violations_std,sla_violations_ci_low,sla_violations_ci_high,migrations_attempted_mean,migrations_attempted_std,migrations_attempted_ci_low,migrations_attempted_ci_high,migrations_successful_mean,migrations_successful_std,migrations_successful_ci_low,migrations_successful_ci_high,migration_success_rate_mean,migration_success_rate_std,migration_success_rate_ci_low,migration_success_rate_ci_high,total_migration_time_mean,total_migration_time_std,total_migration_time_ci_low,total_migration_time_ci_high,migration_frequency_mean,migration_frequency_std,migration_frequency_ci_low,migration_frequency_ci_high,checkpoints_created_mean,checkpoints_created_std,checkpoints_created_ci_low,checkpoints_created_ci_high,total_checkpoint_cpu_mean,total_checkpoint_cpu_std,total_checkpoint_cpu_ci_low,total_checkpoint_cpu_ci_high,total_checkpoint_storage_mean,total_checkpoint_storage_std,total_checkpoint_storage_ci_low,total_checkpoint_storage_ci_high,replications_mean,replications_std,replications_ci_low,replications_ci_high,total_replication_bw_mean,total_replication_bw_std,total_replication_bw_ci_low,total_replication_bw_ci_high,syncs_mean,syncs_std,syncs_ci_low,syncs_ci_high,total_sync_data_mean,total_sync_data_std,total_sync_data_ci_low,total_sync_data_ci_high,avg_bandwidth_mean,avg_bandwidth_std,avg_bandwidth_ci_low,avg_bandwidth_ci_high,avg_latency_mean,avg_latency_std,avg_latency_ci_low,avg_latency_ci_high,avg_cpu_utilization_mean,avg_cpu_utilization_std,avg_cpu_utilization_ci_low,avg_cpu_utilization_ci_high,avg_memory_utilization_mean,avg_memory_utilization_std,avg_memory_utilization_ci_low,avg_memory_utilization_ci_high,avg_storage_utilization_mean,avg_storage_utilization_std,avg_storage_utilization_ci_low,avg_storage_utilization_ci_high,total_data_transferred_mean,total_data_transferred_std,total_data_transferred_ci_low,total_data_transferred_ci_high,energy_proxy_mean,energy_proxy_std,energy_proxy_ci_low,energy_proxy_ci_high,objective_cost_mean,objective_cost_std,objective_cost_ci_low,objective_cost_ci_high
agentic_manager,5,1000.0,0.0,1000.0,1000.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.6,0.5477225575051661,50.919912619341744,52.28008738065826,20.63999999999999,0.21908902300206565,20.36796504773669,20.91203495226329,34769.9,609.4903362646531,34013.11779220708,35526.682207792925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.037152288426743,1.6238566066856075,11.020868001659894,15.053436575193592,1.4052569542314655,0.0962710366443201,1.2857206739604579,1.524793234502473,0.19999999999999718,0.0,0.19999999999999718,0.19999999999999718,0.30000000000000565,0.0,0.30000000000000565,0.30000000000000565,0.12932923468749982,3.510055808281318e-05,0.12928565158821154,0.1293728177867881,0.0,0.0,0.0,0.0,199.9999999999972,0.0,199.9999999999972,199.9999999999972,0.39999999999999436,0.0,0.39999999999999436,0.39999999999999436
local_execution,5,1000.0,0.0,1000.0,1000.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,20.0,8.000000000000002,0.0,8.000000000000002,8.000000000000002,13750.0,0.0,13750.0,13750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.037152288426743,1.6238566066856075,11.020868001659894,15.053436575193592,1.4052569542314655,0.0962710366443201,1.2857206739604579,1.524793234502473,0.19999999999999718,0.0,0.19999999999999718,0.19999999999999718,0.30000000000000565,0.0,0.30000000000000565,0.30000000000000565,0.12678070312499984,0.0,0.12678070312499984,0.12678070312499984,0.0,0.0,0.0,0.0,199.9999999999972,0.0,199.9999999999972,199.9999999999972,0.39999999999999436,0.0,0.39999999999999436,0.39999999999999436
mobility_aware,5,1000.0,0.0,1000.0,1000.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.4,3.361547262794322,55.22608778552788,63.57391221447212,23.75999999999998,1.344618905117724,22.09043511421114,25.42956488578882,40881.719999999994,3248.9066009967114,36847.66964001582,44915.77035998417,0.2,0.44721359549995804,-0.3552890210395588,0.7552890210395589,163.4,365.37350752346566,-290.2711301893195,617.0711301893194,0.2,0.44721359549995804,-0.3552890210395588,0.7552890210395589,0.2,0.44721359549995804,-0.3552890210395588,0.7552890210395589,13.037152288426743,1.6238566066856075,11.020868001659894,15.053436575193592,1.4052569542314655,0.0962710366443201,1.2857206739604579,1.524793234502473,0.19999999999999718,0.0,0.19999999999999718,0.19999999999999718,0.30000000000000565,0.0,0.30000000000000565,0.30000000000000565,0.12900893531249993,0.00022375550872004692,0.1287311061529225,0.12928676447207738,163.6,365.8207211189656,-290.626419210359,617.826419210359,199.9999999999972,0.0,199.9999999999972,199.9999999999972,0.4490799999999943,0.10974621633568966,0.3128120742368866,0.585347925763102
rl_based,5,1000.0,0.0,1000.0,1000.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,10.894952959971878,-3.727870852520617,23.32787085252062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.89057634883414,262.95845736616144,-27.615473185927897,625.3966258835962,9.8,10.894952959971878,-3.727870852520617,23.32787085252062,44.6,37.11872842649652,-1.4889887462833755,90.68898874628337,17.839999999999982,14.84749137059856,-0.5955954985133118,36.275595498513276,5311.234451652075,4428.742134710086,-187.77521434552364,10810.244117649674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.037152288426743,1.6238566066856075,11.020868001659894,15.053436575193592,1.4052569542314655,0.0962710366443201,1.2857206739604579,1.524793234502473,0.19999999999999718,0.0,0.19999999999999718,0.19999999999999718,0.30000000000000565,0.0,0.30000000000000565,0.30000000000000565,0.10553140374207974,3.122358666671637e-07,0.10553101605004515,0.10553179143411433,0.0,0.0,0.0,0.0,199.9999999999972,0.0,199.9999999999972,199.9999999999972,1.8944528817441646,1.3147922868308073,0.2619226340703542,3.526983129417975
threshold_based,5,1000.0,0.0,1000.0,1000.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,20.0,8.000000000000002,0.0,8.000000000000002,8.000000000000002,13750.0,0.0,13750.0,13750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.037152288426743,1.6238566066856075,11.020868001659894,15.053436575193592,1.4052569542314655,0.0962710366443201,1.2857206739604579,1.524793234502473,0.19999999999999718,0.0,0.19999999999999718,0.19999999999999718,0.30000000000000565,0.0,0.30000000000000565,0.30000000000000565,0.12678070312499984,0.0,0.12678070312499984,0.12678070312499984,0.0,0.0,0.0,0.0,199.9999999999972,0.0,199.9999999999972,199.9999999999972,0.39999999999999436,0.0,0.39999999999999436,0.39999999999999436
